Product_Name,Product_Brand,Product_Price,Product_Image_Url,Product_Url
Vans Hi-Standard OG 2021,Vans,€ 22995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587567/
Vans Sam Taxwood Standard MTE Shoes,Vans,€ 18495,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Vans-Sam+Taxwood+Standard+MTE+Winterschuhe-628301/
Jones Snowboards Mercury Snowboard Bindings 2021,Jones Snowboards,€ 34995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Jones+Snowboards-Mercury+Snowboard+Bindung+2021-629275/?colid=surf+series
Union Falcor 2021,Union,€ 33995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Falcor+2021+Snowboardbindung-618608/?colid=arctic+white
K2 Emphasis Helmet,K2,€ 9995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/K2-Emphasis+Helm-625403/
Burton Felix Step On 2021,Burton,€ 38995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Burton-Felix+Step+On+2021-567092/
Nitro Team TLS 2020,Nitro,€ 31995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Nitro-Team+TLS+2020+Snowboardboots-576272/
Nitro Team 2021,Nitro,statt € 39995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Nitro-Team+2021+Snowboardbindung-620641/
Anon Raider 3 Helmet,Anon,€ 7995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Anon-Raider+3+Helm-567238/
Union Strata 2021,Union,€ 27995,"https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/
